S 34d574,4 miss eviction 
L 30c684,4 hit 
S 34d254,4 hit 
L 30c688,4 hit 
S 34d360,4 miss eviction 
L 30c68c,4 hit 
S 34d46c,4 hit 
L 30c690,4 hit 
S 34d578,4 hit 
L 30c778,4 miss eviction 
S 34d258,4 hit 
L 30c77c,4 hit 
S 34d364,4 miss eviction 
L 30c780,4 miss eviction 
S 34d470,4 hit 
L 30c784,4 hit 
S 34d57c,4 hit 
L 30c86c,4 miss eviction 
S 34d25c,4 hit 
L 30c870,4 hit 
S 34d368,4 hit 
L 30c874,4 hit 
S 34d474,4 miss eviction 
L 30c878,4 miss eviction 
S 34d580,4 miss eviction 
L 30c5a0,4 miss eviction 
S 34d680,4 miss eviction 
L 30c5a4,4 hit 
S 34d78c,4 miss eviction 
L 30c5a8,4 hit 
S 34d898,4 miss eviction 
L 30c5ac,4 hit 
S 34d9a4,4 miss eviction 
L 30c694,4 miss eviction 
S 34d684,4 miss eviction 
L 30c698,4 miss eviction 
S 34d790,4 hit 
L 30c69c,4 hit 
S 34d89c,4 hit 
L 30c6a0,4 miss eviction 
S 34d9a8,4 hit 
L 30c788,4 miss eviction 
S 34d688,4 miss eviction 
L 30c78c,4 hit 
S 34d794,4 miss eviction 
L 30c790,4 miss eviction 
S 34d8a0,4 miss eviction 
L 30c794,4 hit 
S 34d9ac,4 hit 
L 30c87c,4 hit 
S 34d68c,4 hit 
L 30c880,4 miss eviction 
S 34d798,4 miss eviction 
L 30c884,4 hit 
S 34d8a4,4 hit 
L 30c888,4 hit 
S 34d9b0,4 hit 
L 30c5b0,4 miss eviction 
S 34dab0,4 miss eviction 
L 30c5b4,4 hit 
S 34dbbc,4 miss eviction 
L 30c5b8,4 hit 
S 34dcc8,4 miss eviction 
L 30c5bc,4 hit 
S 34ddd4,4 miss eviction 
L 30c6a4,4 miss eviction 
S 34dab4,4 miss eviction 
L 30c6a8,4 miss eviction 
S 34dbc0,4 miss eviction 
L 30c6ac,4 hit 
S 34dccc,4 hit 
L 30c6b0,4 hit 
S 34ddd8,4 hit 
L 30c798,4 miss eviction 
S 34dab8,4 miss eviction 
L 30c79c,4 hit 
S 34dbc4,4 hit 
L 30c7a0,4 miss eviction 
S 34dcd0,4 hit 
L 30c7a4,4 hit 
S 34dddc,4 hit 
L 30c88c,4 hit 
S 34dabc,4 hit 
L 30c890,4 hit 
S 34dbc8,4 hit 
L 30c894,4 hit 
S 34dcd4,4 hit 
L 30c898,4 hit 
S 34dde0,4 miss eviction 
L 30c5c0,4 miss eviction 
S 34dee0,4 miss eviction 
L 30c5c4,4 hit 
S 34dfec,4 miss eviction 
L 30c5c8,4 hit 
S 34e0f8,4 miss eviction 
L 30c5cc,4 hit 
S 34e204,4 miss eviction 
L 30c6b4,4 miss eviction 
S 34dee4,4 hit 
L 30c6b8,4 hit 
S 34dff0,4 hit 
L 30c6bc,4 hit 
S 34e0fc,4 hit 
L 30c6c0,4 miss eviction 
S 34e208,4 hit 
L 30c7a8,4 hit 
S 34dee8,4 hit 
L 30c7ac,4 hit 
S 34dff4,4 hit 
L 30c7b0,4 hit 
S 34e100,4 miss eviction 
L 30c7b4,4 hit 
S 34e20c,4 hit 
L 30c89c,4 hit 
S 34deec,4 hit 
L 30c8a0,4 miss eviction 
S 34dff8,4 hit 
L 30c8a4,4 hit 
S 34e104,4 hit 
L 30c8a8,4 hit 
S 34e210,4 hit 
L 30c5d0,4 hit 
S 34e310,4 miss eviction 
L 30c5d4,4 hit 
S 34e41c,4 miss eviction 
L 30c5d8,4 hit 
S 34e528,4 miss eviction 
L 30c5dc,4 hit 
S 34e634,4 miss eviction 
L 30c6c4,4 hit 
S 34e314,4 hit 
L 30c6c8,4 hit 
S 34e420,4 miss eviction 
L 30c6cc,4 hit 
S 34e52c,4 hit 
L 30c6d0,4 hit 
S 34e638,4 hit 
L 30c7b8,4 hit 
S 34e318,4 hit 
L 30c7bc,4 hit 
S 34e424,4 hit 
L 30c7c0,4 miss eviction 
S 34e530,4 hit 
L 30c7c4,4 hit 
S 34e63c,4 hit 
L 30c8ac,4 hit 
S 34e31c,4 hit 
L 30c8b0,4 hit 
S 34e428,4 hit 
L 30c8b4,4 hit 
S 34e534,4 hit 
L 30c8b8,4 hit 
S 34e640,4 miss eviction 
L 30c5e0,4 miss eviction 
S 34e740,4 miss eviction 
L 30c5e4,4 hit 
S 34e84c,4 miss eviction 
L 30c5e8,4 hit 
S 34e958,4 miss eviction 
L 30c5ec,4 hit 
S 34ea64,4 miss eviction 
L 30c6d4,4 hit 
S 34e744,4 hit 
L 30c6d8,4 hit 
S 34e850,4 hit 
L 30c6dc,4 hit 
S 34e95c,4 hit 
L 30c6e0,4 miss eviction 
S 34ea68,4 hit 
L 30c7c8,4 hit 
S 34e748,4 hit 
L 30c7cc,4 hit 
S 34e854,4 hit 
L 30c7d0,4 hit 
